published_date,candidate_name,trend_score,platform,data_collected_date,year,month,month_name
2026-01-04,Bola Tinubu,30,Google Trends,2026-05-07,2026,1,January
2026-01-11,Bola Tinubu,27,Google Trends,2026-05-07,2026,1,January
2026-01-18,Bola Tinubu,30,Google Trends,2026-05-07,2026,1,January
2026-01-25,Bola Tinubu,44,Google Trends,2026-05-07,2026,1,January
2026-02-01,Bola Tinubu,28,Google Trends,2026-05-07,2026,2,February
2026-02-08,Bola Tinubu,27,Google Trends,2026-05-07,2026,2,February
2026-02-15,Bola Tinubu,33,Google Trends,2026-05-07,2026,2,February
2026-02-22,Bola Tinubu,35,Google Trends,2026-05-07,2026,2,February
2026-03-01,Bola Tinubu,41,Google Trends,2026-05-07,2026,3,March
2026-03-08,Bola Tinubu,37,Google Trends,2026-05-07,2026,3,March
2026-03-15,Bola Tinubu,37,Google Trends,2026-05-07,2026,3,March
2026-03-22,Bola Tinubu,35,Google Trends,2026-05-07,2026,3,March
2026-03-29,Bola Tinubu,66,Google Trends,2026-05-07,2026,3,March
2026-04-05,Bola Tinubu,48,Google Trends,2026-05-07,2026,4,April
2026-04-12,Bola Tinubu,73,Google Trends,2026-05-07,2026,4,April
2026-04-19,Bola Tinubu,76,Google Trends,2026-05-07,2026,4,April
2026-04-26,Bola Tinubu,57,Google Trends,2026-05-07,2026,4,April
2026-01-04, Atiku Abubakar,24,Google Trends,2026-05-07,2026,1,January
2026-01-11, Atiku Abubakar,86,Google Trends,2026-05-07,2026,1,January
2026-01-18, Atiku Abubakar,19,Google Trends,2026-05-07,2026,1,January
2026-01-25, Atiku Abubakar,16,Google Trends,2026-05-07,2026,1,January
2026-02-01, Atiku Abubakar,16,Google Trends,2026-05-07,2026,2,February
2026-02-08, Atiku Abubakar,15,Google Trends,2026-05-07,2026,2,February
2026-02-15, Atiku Abubakar,14,Google Trends,2026-05-07,2026,2,February
2026-02-22, Atiku Abubakar,42,Google Trends,2026-05-07,2026,2,February
2026-03-01, Atiku Abubakar,18,Google Trends,2026-05-07,2026,3,March
2026-03-08, Atiku Abubakar,11,Google Trends,2026-05-07,2026,3,March
2026-03-15, Atiku Abubakar,11,Google Trends,2026-05-07,2026,3,March
2026-03-22, Atiku Abubakar,15,Google Trends,2026-05-07,2026,3,March
2026-03-29, Atiku Abubakar,26,Google Trends,2026-05-07,2026,3,March
2026-04-05, Atiku Abubakar,18,Google Trends,2026-05-07,2026,4,April
2026-04-12, Atiku Abubakar,40,Google Trends,2026-05-07,2026,4,April
2026-04-19, Atiku Abubakar,24,Google Trends,2026-05-07,2026,4,April
2026-04-26, Atiku Abubakar,33,Google Trends,2026-05-07,2026,4,April
2026-01-04, Peter Obi,44,Google Trends,2026-05-07,2026,1,January
2026-01-11, Peter Obi,34,Google Trends,2026-05-07,2026,1,January
2026-01-18, Peter Obi,37,Google Trends,2026-05-07,2026,1,January
2026-01-25, Peter Obi,35,Google Trends,2026-05-07,2026,1,January
2026-02-01, Peter Obi,39,Google Trends,2026-05-07,2026,2,February
2026-02-08, Peter Obi,48,Google Trends,2026-05-07,2026,2,February
2026-02-15, Peter Obi,52,Google Trends,2026-05-07,2026,2,February
2026-02-22, Peter Obi,100,Google Trends,2026-05-07,2026,2,February
2026-03-01, Peter Obi,59,Google Trends,2026-05-07,2026,3,March
2026-03-08, Peter Obi,42,Google Trends,2026-05-07,2026,3,March
2026-03-15, Peter Obi,39,Google Trends,2026-05-07,2026,3,March
2026-03-22, Peter Obi,55,Google Trends,2026-05-07,2026,3,March
2026-03-29, Peter Obi,63,Google Trends,2026-05-07,2026,3,March
2026-04-05, Peter Obi,53,Google Trends,2026-05-07,2026,4,April
2026-04-12, Peter Obi,75,Google Trends,2026-05-07,2026,4,April
2026-04-19, Peter Obi,63,Google Trends,2026-05-07,2026,4,April
2026-04-26, Peter Obi,88,Google Trends,2026-05-07,2026,4,April
2026-01-04, Rabiu Kwankwaso,13,Google Trends,2026-05-07,2026,1,January
2026-01-11, Rabiu Kwankwaso,0,Google Trends,2026-05-07,2026,1,January
2026-01-18, Rabiu Kwankwaso,4,Google Trends,2026-05-07,2026,1,January
2026-01-25, Rabiu Kwankwaso,8,Google Trends,2026-05-07,2026,1,January
2026-02-01, Rabiu Kwankwaso,6,Google Trends,2026-05-07,2026,2,February
2026-02-08, Rabiu Kwankwaso,40,Google Trends,2026-05-07,2026,2,February
2026-02-15, Rabiu Kwankwaso,8,Google Trends,2026-05-07,2026,2,February
2026-02-22, Rabiu Kwankwaso,0,Google Trends,2026-05-07,2026,2,February
2026-03-01, Rabiu Kwankwaso,0,Google Trends,2026-05-07,2026,3,March
2026-03-08, Rabiu Kwankwaso,0,Google Trends,2026-05-07,2026,3,March
2026-03-15, Rabiu Kwankwaso,0,Google Trends,2026-05-07,2026,3,March
2026-03-22, Rabiu Kwankwaso,7,Google Trends,2026-05-07,2026,3,March
2026-03-29, Rabiu Kwankwaso,32,Google Trends,2026-05-07,2026,3,March
2026-04-05, Rabiu Kwankwaso,7,Google Trends,2026-05-07,2026,4,April
2026-04-12, Rabiu Kwankwaso,7,Google Trends,2026-05-07,2026,4,April
2026-04-19, Rabiu Kwankwaso,2,Google Trends,2026-05-07,2026,4,April
2026-04-26, Rabiu Kwankwaso,10,Google Trends,2026-05-07,2026,4,April
2026-01-04, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,1,January
2026-01-11, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,1,January
2026-01-18, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,1,January
2026-01-25, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,1,January
2026-02-01, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,2,February
2026-02-08, Rotimi Amaechi,4,Google Trends,2026-05-07,2026,2,February
2026-02-15, Rotimi Amaechi,3,Google Trends,2026-05-07,2026,2,February
2026-02-22, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,2,February
2026-03-01, Rotimi Amaechi,4,Google Trends,2026-05-07,2026,3,March
2026-03-08, Rotimi Amaechi,3,Google Trends,2026-05-07,2026,3,March
2026-03-15, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,3,March
2026-03-22, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,3,March
2026-03-29, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,3,March
2026-04-05, Rotimi Amaechi,0,Google Trends,2026-05-07,2026,4,April
2026-04-12, Rotimi Amaechi,5,Google Trends,2026-05-07,2026,4,April
2026-04-19, Rotimi Amaechi,1,Google Trends,2026-05-07,2026,4,April
2026-04-26, Rotimi Amaechi,3,Google Trends,2026-05-07,2026,4,April
2026-01-04,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,1,January
2026-01-11,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,1,January
2026-01-18,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,1,January
2026-01-25,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,1,January
2026-02-01,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,2,February
2026-02-08,Nasir El-Rufai,10,Google Trends,2026-05-07,2026,2,February
2026-02-15,Nasir El-Rufai,32,Google Trends,2026-05-07,2026,2,February
2026-02-22,Nasir El-Rufai,15,Google Trends,2026-05-07,2026,2,February
2026-03-01,Nasir El-Rufai,10,Google Trends,2026-05-07,2026,3,March
2026-03-08,Nasir El-Rufai,8,Google Trends,2026-05-07,2026,3,March
2026-03-15,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,3,March
2026-03-22,Nasir El-Rufai,15,Google Trends,2026-05-07,2026,3,March
2026-03-29,Nasir El-Rufai,11,Google Trends,2026-05-07,2026,3,March
2026-04-05,Nasir El-Rufai,0,Google Trends,2026-05-07,2026,4,April
2026-04-12,Nasir El-Rufai,61,Google Trends,2026-05-07,2026,4,April
2026-04-19,Nasir El-Rufai,100,Google Trends,2026-05-07,2026,4,April
2026-04-26,Nasir El-Rufai,10,Google Trends,2026-05-07,2026,4,April
2026-01-04, Goodluck Jonathan,18,Google Trends,2026-05-07,2026,1,January
2026-01-11, Goodluck Jonathan,20,Google Trends,2026-05-07,2026,1,January
2026-01-18, Goodluck Jonathan,16,Google Trends,2026-05-07,2026,1,January
2026-01-25, Goodluck Jonathan,25,Google Trends,2026-05-07,2026,1,January
2026-02-01, Goodluck Jonathan,70,Google Trends,2026-05-07,2026,2,February
2026-02-08, Goodluck Jonathan,37,Google Trends,2026-05-07,2026,2,February
2026-02-15, Goodluck Jonathan,25,Google Trends,2026-05-07,2026,2,February
2026-02-22, Goodluck Jonathan,23,Google Trends,2026-05-07,2026,2,February
2026-03-01, Goodluck Jonathan,20,Google Trends,2026-05-07,2026,3,March
2026-03-08, Goodluck Jonathan,25,Google Trends,2026-05-07,2026,3,March
2026-03-15, Goodluck Jonathan,23,Google Trends,2026-05-07,2026,3,March
2026-03-22, Goodluck Jonathan,26,Google Trends,2026-05-07,2026,3,March
2026-03-29, Goodluck Jonathan,25,Google Trends,2026-05-07,2026,3,March
2026-04-05, Goodluck Jonathan,43,Google Trends,2026-05-07,2026,4,April
2026-04-12, Goodluck Jonathan,29,Google Trends,2026-05-07,2026,4,April
2026-04-19, Goodluck Jonathan,30,Google Trends,2026-05-07,2026,4,April
2026-04-26, Goodluck Jonathan,24,Google Trends,2026-05-07,2026,4,April
2026-01-04, Omoyele Sowore,0,Google Trends,2026-05-07,2026,1,January
2026-01-11, Omoyele Sowore,0,Google Trends,2026-05-07,2026,1,January
2026-01-18, Omoyele Sowore,14,Google Trends,2026-05-07,2026,1,January
2026-01-25, Omoyele Sowore,9,Google Trends,2026-05-07,2026,1,January
2026-02-01, Omoyele Sowore,0,Google Trends,2026-05-07,2026,2,February
2026-02-08, Omoyele Sowore,0,Google Trends,2026-05-07,2026,2,February
2026-02-15, Omoyele Sowore,10,Google Trends,2026-05-07,2026,2,February
2026-02-22, Omoyele Sowore,8,Google Trends,2026-05-07,2026,2,February
2026-03-01, Omoyele Sowore,0,Google Trends,2026-05-07,2026,3,March
2026-03-08, Omoyele Sowore,0,Google Trends,2026-05-07,2026,3,March
2026-03-15, Omoyele Sowore,90,Google Trends,2026-05-07,2026,3,March
2026-03-22, Omoyele Sowore,10,Google Trends,2026-05-07,2026,3,March
2026-03-29, Omoyele Sowore,11,Google Trends,2026-05-07,2026,3,March
2026-04-05, Omoyele Sowore,10,Google Trends,2026-05-07,2026,4,April
2026-04-12, Omoyele Sowore,26,Google Trends,2026-05-07,2026,4,April
2026-04-19, Omoyele Sowore,13,Google Trends,2026-05-07,2026,4,April
2026-04-26, Omoyele Sowore,12,Google Trends,2026-05-07,2026,4,April
2026-01-04, Seyi Makinde,14,Google Trends,2026-05-07,2026,1,January
2026-01-11, Seyi Makinde,20,Google Trends,2026-05-07,2026,1,January
2026-01-18, Seyi Makinde,15,Google Trends,2026-05-07,2026,1,January
2026-01-25, Seyi Makinde,21,Google Trends,2026-05-07,2026,1,January
2026-02-01, Seyi Makinde,27,Google Trends,2026-05-07,2026,2,February
2026-02-08, Seyi Makinde,20,Google Trends,2026-05-07,2026,2,February
2026-02-15, Seyi Makinde,9,Google Trends,2026-05-07,2026,2,February
2026-02-22, Seyi Makinde,27,Google Trends,2026-05-07,2026,2,February
2026-03-01, Seyi Makinde,28,Google Trends,2026-05-07,2026,3,March
2026-03-08, Seyi Makinde,19,Google Trends,2026-05-07,2026,3,March
2026-03-15, Seyi Makinde,17,Google Trends,2026-05-07,2026,3,March
2026-03-22, Seyi Makinde,30,Google Trends,2026-05-07,2026,3,March
2026-03-29, Seyi Makinde,25,Google Trends,2026-05-07,2026,3,March
2026-04-05, Seyi Makinde,19,Google Trends,2026-05-07,2026,4,April
2026-04-12, Seyi Makinde,26,Google Trends,2026-05-07,2026,4,April
2026-04-19, Seyi Makinde,26,Google Trends,2026-05-07,2026,4,April
2026-04-26, Seyi Makinde,35,Google Trends,2026-05-07,2026,4,April
2026-01-04, Orji Uzor Kalu,12,Google Trends,2026-05-07,2026,1,January
2026-01-11, Orji Uzor Kalu,16,Google Trends,2026-05-07,2026,1,January
2026-01-18, Orji Uzor Kalu,10,Google Trends,2026-05-07,2026,1,January
2026-01-25, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,1,January
2026-02-01, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,2,February
2026-02-08, Orji Uzor Kalu,15,Google Trends,2026-05-07,2026,2,February
2026-02-15, Orji Uzor Kalu,11,Google Trends,2026-05-07,2026,2,February
2026-02-22, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,2,February
2026-03-01, Orji Uzor Kalu,8,Google Trends,2026-05-07,2026,3,March
2026-03-08, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,3,March
2026-03-15, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,3,March
2026-03-22, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,3,March
2026-03-29, Orji Uzor Kalu,7,Google Trends,2026-05-07,2026,3,March
2026-04-05, Orji Uzor Kalu,9,Google Trends,2026-05-07,2026,4,April
2026-04-12, Orji Uzor Kalu,0,Google Trends,2026-05-07,2026,4,April
2026-04-19, Orji Uzor Kalu,2,Google Trends,2026-05-07,2026,4,April
2026-04-26, Orji Uzor Kalu,7,Google Trends,2026-05-07,2026,4,April
