"Time","Nasir El-Rufai"," Goodluck Jonathan"," Omoyele Sowore"," Seyi Makinde"," Orji Uzor Kalu"
"2025-12-28",0,19,0,62,0
"2026-01-04",0,18,0,14,12
"2026-01-11",0,20,0,20,16
"2026-01-18",0,16,14,15,10
"2026-01-25",0,25,9,21,0
"2026-02-01",0,70,0,27,0
"2026-02-08",10,37,0,20,15
"2026-02-15",32,25,10,9,11
"2026-02-22",15,23,8,27,0
"2026-03-01",10,20,0,28,8
"2026-03-08",8,25,0,19,0
"2026-03-15",0,23,90,17,0
"2026-03-22",15,26,10,30,0
"2026-03-29",11,25,11,25,7
"2026-04-05",0,43,10,19,9
"2026-04-12",61,29,26,26,0
"2026-04-19",100,30,13,26,2
"2026-04-26",10,24,12,35,7